timestep,flow,occupy,speed
1,133,0.0603,65.8
2,114,0.0532,66.9
3,140,0.0622,66.8
4,106,0.0452,68.9
5,117,0.0574,67.4
6,110,0.0545,65.5
7,130,0.0566,66.4
8,112,0.0606,63
9,115,0.0479,67.3
10,93,0.0477,65.7
11,90,0.0421,65.9
12,93,0.0496,64.3
13,87,0.0451,66.7
14,78,0.0481,63.4
15,98,0.0534,64.3
16,96,0.0524,64.5
17,82,0.0457,64.6
18,85,0.0496,63.3
19,79,0.0463,62.5
20,85,0.0497,62.1
21,100,0.0567,62.7
22,84,0.0494,63.3
23,79,0.0428,63.9
24,82,0.0505,62.9
25,91,0.0511,65.7
26,79,0.0452,67.7
27,74,0.045,65.7
28,87,0.0553,63.9
29,86,0.0523,66
30,94,0.0518,66.7
31,70,0.0431,66.6
32,72,0.0476,65.1
33,101,0.0551,66
34,78,0.0436,67.1
35,80,0.0556,63.3
36,96,0.0567,65.2
37,83,0.0501,65.7
38,88,0.055,64.2
39,87,0.0498,67.1
40,113,0.0585,67
41,114,0.0581,66.1
42,117,0.0628,65.1
43,130,0.0801,63.3
44,128,0.0645,65.6
45,138,0.0761,63.8
46,181,0.0894,65.9
47,161,0.0801,65.8
48,156,0.0713,67.5
49,173,0.0833,66.7
50,177,0.0774,67.4
51,234,0.1151,64.7
52,186,0.0828,66.9
53,220,0.0884,67.8
54,271,0.1003,70
55,282,0.1135,69
56,352,0.1297,69.1
57,336,0.1332,67.7
58,365,0.1367,68
59,389,0.1485,67.7
60,420,0.1588,67.1
61,418,0.1507,66.9
62,446,0.163,66.8
63,419,0.1511,67.3
64,400,0.1523,66.8
65,394,0.1606,65.8
66,375,0.1398,66.2
67,338,0.1184,68.8
68,379,0.1494,67.9
69,388,0.1425,67.7
70,375,0.1459,67.7
71,371,0.1397,68.1
72,340,0.1327,68.3
73,331,0.1203,63.7
74,353,0.1372,61
75,368,0.1366,60.9
76,401,0.1462,60.5
77,396,0.1429,60.4
78,428,0.1497,60
79,457,0.1593,60.2
80,480,0.1678,60
81,409,0.1485,60.3
82,447,0.1595,59.6
83,454,0.1496,60.1
84,445,0.147,61.9
85,438,0.1572,60.4
86,431,0.1535,60.6
87,437,0.1533,60.4
88,393,0.1269,62.4
89,411,0.1413,61.5
90,420,0.1371,62.8
91,438,0.1386,63.5
92,454,0.1541,61.7
93,440,0.1445,61.9
94,478,0.1697,60.6
95,472,0.1627,59.9
96,400,0.1289,61.6
97,445,0.1541,60.9
98,454,0.1605,61
99,461,0.1579,60.6
100,483,0.1722,59.5
101,449,0.1585,59.1
102,457,0.1588,59.4
103,457,0.1749,58
104,462,0.1741,58.2
105,467,0.1794,57
106,480,0.1762,57.1
107,463,0.1618,58.6
108,419,0.1491,58.9
109,436,0.1584,58.6
110,431,0.169,57.6
111,432,0.1541,58.8
112,423,0.1544,58.9
113,406,0.1609,58.5
114,415,0.1609,57.2
115,446,0.1706,57.2
116,424,0.1632,56.9
117,453,0.1678,57
118,447,0.1607,57.6
119,423,0.1718,57.4
120,410,0.1566,57.3
121,383,0.1584,57.9
122,432,0.1536,58
123,411,0.1685,56.6
124,403,0.1521,57.5
125,422,0.1599,57.2
126,413,0.148,58.4
127,442,0.1692,57.6
128,453,0.1752,58.6
129,447,0.1755,58.2
130,408,0.1553,57.6
131,401,0.1545,57.3
132,405,0.1565,56.7
133,399,0.1546,56.9
134,460,0.1749,57.4
135,444,0.161,58.2
136,428,0.1556,58.6
137,440,0.1753,57.2
138,480,0.1804,56.6
139,424,0.1729,56.3
140,483,0.1717,57.3
141,429,0.1592,58.6
142,450,0.1616,58.4
143,445,0.1638,59
144,411,0.1628,58.7
145,490,0.1766,58.1
146,468,0.1711,58.3
147,458,0.1658,58.5
148,433,0.1633,57.7
149,476,0.1646,58.2
150,450,0.1689,57.9
151,464,0.1699,58.5
152,469,0.1734,58.6
153,442,0.1504,59.6
154,446,0.1653,59.9
155,465,0.1769,57.8
156,388,0.1413,59
157,462,0.1749,57.9
158,414,0.1452,59.1
159,450,0.2003,52.2
160,437,0.2494,46.9
161,423,0.2,46.1
162,494,0.1869,48.5
163,406,0.1859,47.1
164,309,0.343,37.9
165,255,0.4591,27.7
166,304,0.4388,25.7
167,392,0.3651,27.4
168,393,0.3744,27.9
169,379,0.3669,27.6
170,360,0.3308,28
171,352,0.3548,27.9
172,358,0.3925,26.8
173,397,0.37,28.3
174,384,0.3526,28.5
175,375,0.3385,28.9
176,394,0.3828,28.5
177,437,0.3185,30.8
178,440,0.2017,37.9
179,449,0.1682,44.4
180,450,0.1605,50
181,428,0.1511,55
182,446,0.1484,57.3
183,463,0.1587,58.3
184,477,0.164,58.7
185,483,0.1623,59
186,454,0.1494,60.3
187,399,0.133,60.7
188,465,0.1558,60.4
189,471,0.152,60.9
190,478,0.153,61.8
191,472,0.146,62
192,446,0.1318,63.4
193,414,0.1265,64.1
194,406,0.1254,63.5
195,476,0.1569,62.4
196,491,0.1443,63.3
197,454,0.1365,64.3
198,456,0.1466,63.1
199,448,0.1411,63.4
200,424,0.1308,63.4
201,484,0.1413,63.5
202,440,0.136,63.7
203,460,0.137,63.6
204,454,0.1386,64.2
205,441,0.1314,65
206,479,0.1443,64.3
207,502,0.1501,64.7
208,496,0.1391,66.1
209,499,0.1459,66.1
210,490,0.1424,65.8
211,446,0.1404,65
212,477,0.1308,66.2
213,492,0.1455,65.4
214,524,0.1511,65.2
215,497,0.1464,65.5
216,492,0.1365,66.8
217,477,0.1452,65.2
218,402,0.1275,65
219,456,0.1335,64.9
220,442,0.132,65.3
221,435,0.1297,65.4
222,416,0.1223,65.4
223,404,0.125,65.7
224,373,0.1147,66
225,413,0.1301,65.1
226,380,0.1165,65.3
227,375,0.122,64.6
228,387,0.1209,64.6
229,352,0.1157,64.2
230,379,0.1176,64.6
231,357,0.1068,65.8
232,362,0.1135,64.1
233,416,0.1245,64.1
234,397,0.1181,64.4
235,355,0.1106,65.4
236,360,0.1134,64.5
237,346,0.1061,65.4
238,306,0.0985,64.8
239,346,0.0989,66.6
240,326,0.1015,67.1
241,311,0.095,66.7
242,315,0.1025,65.2
243,316,0.0932,66.3
244,330,0.1039,65.1
245,321,0.104,64.6
246,311,0.0966,65.7
247,325,0.1045,65.6
248,295,0.0882,66.3
249,348,0.1094,66.1
250,299,0.0906,66.5
251,293,0.0947,65.7
252,309,0.1052,63.8
253,321,0.0962,65.8
254,281,0.0934,65.1
255,353,0.1137,65.2
256,328,0.1083,64.9
257,316,0.1039,64.7
258,314,0.1015,65.2
259,302,0.0919,66.8
260,321,0.1051,65.8
261,300,0.0951,65.2
262,306,0.1021,64.2
263,342,0.0997,66.6
264,278,0.0875,67.6
265,297,0.0953,66.3
266,295,0.0936,66.2
267,279,0.0922,65
268,286,0.0981,64.6
269,272,0.0942,64.7
270,244,0.0818,65.4
271,251,0.0854,66.3
272,263,0.0793,68.4
273,258,0.0803,68.3
274,246,0.0815,67.1
275,237,0.0805,66.3
276,249,0.085,66.4
277,223,0.0803,65.4
278,225,0.079,64.7
279,185,0.0632,67
280,203,0.0674,67.3
281,198,0.0723,66.6
282,212,0.0704,67
283,202,0.0692,66.9
284,176,0.0636,65.4
285,178,0.0611,66.6
286,203,0.0695,66.1
287,183,0.0694,64.4
288,184,0.0665,64.9
289,162,0.0625,67.2
290,137,0.059,63.6
291,157,0.0572,65.7
292,118,0.0561,64.3
293,168,0.0653,64
294,138,0.0594,62.6
295,124,0.0508,64.2
296,131,0.0571,62.2
297,115,0.0561,60.1
298,142,0.0557,61.3
299,135,0.054,63.2
300,106,0.0501,62.1
301,99,0.0466,64
302,87,0.0389,67.4
303,111,0.0477,67.5
304,103,0.0461,68.5
305,77,0.0391,67.1
306,91,0.0455,65.9
307,104,0.0547,62.4
308,67,0.0339,65.1
309,52,0.0345,67.7
310,10,0.0158,59.5
311,6,0.016,60
312,35,0.0206,70.1
313,57,0.0269,68.4
314,61,0.0266,66.3
315,42,0.0225,67.3
316,33,0.0203,68.4
317,39,0.0215,69.2
318,38,0.0218,70.1
319,36,0.0235,71
320,39,0.0228,70.4
321,41,0.0216,70.6
322,46,0.0228,70.5
323,83,0.0384,69.1
324,87,0.0477,66.5
325,66,0.0412,63.4
326,74,0.0456,60.1
327,91,0.0438,62.9
328,87,0.0479,64
329,71,0.0406,64.4
330,95,0.047,64.5
331,76,0.0421,64.9
332,85,0.0489,62.4
333,99,0.0535,62.4
334,91,0.0453,64.9
335,80,0.0475,62.1
336,87,0.0499,62.2
337,87,0.0511,60.2
338,99,0.0457,65
339,97,0.048,65.4
340,122,0.0564,65.2
341,105,0.051,66.2
342,102,0.053,65.8
343,99,0.0533,63.5
344,131,0.053,66.5
345,127,0.0553,68.4
346,129,0.0609,65.7
347,140,0.0574,68.2
348,132,0.058,66.6
349,122,0.0559,64.4
350,130,0.0623,63.9
351,126,0.0558,65.2
352,153,0.0693,63.4
353,161,0.0664,63.4
354,160,0.069,63.3
355,167,0.0695,64.2
356,166,0.0764,63.5
357,201,0.0789,64.7
358,179,0.0705,65.4
359,190,0.0684,68.4
360,175,0.0713,66.5
361,159,0.0699,61
362,194,0.0746,59.1
363,204,0.082,57.9
364,215,0.0756,60.2
365,219,0.0822,60.2
366,224,0.079,58.5
367,245,0.0784,61.3
368,249,0.0903,59.9
369,235,0.0784,59.7
370,270,0.091,60.7
371,266,0.0879,60.8
372,250,0.0855,60.1
373,263,0.0862,60.4
374,230,0.0847,59.3
375,255,0.0848,60.2
376,242,0.0863,59.6
377,258,0.0851,60.7
378,231,0.0755,61.7
379,272,0.0976,59.8
380,306,0.1075,59
381,287,0.0911,60.3
382,295,0.0957,60.4
383,286,0.0959,60.7
384,287,0.097,60.1
385,279,0.0862,60.3
386,269,0.0919,59.7
387,315,0.108,58.8
388,307,0.1046,59.3
389,310,0.1087,58.8
390,344,0.1062,59.5
391,347,0.1116,58.6
392,331,0.1049,60.8
393,384,0.1204,59.4
394,363,0.1165,60
395,336,0.0989,61.3
396,327,0.1066,60.1
397,359,0.1122,60.9
398,343,0.1067,61
399,343,0.1109,61.6
400,388,0.1176,60.9
401,343,0.1094,61.3
402,350,0.1062,61
403,357,0.1159,61
404,362,0.1138,60.5
405,339,0.1055,61.2
406,383,0.1223,60.5
407,359,0.1088,61.1
408,376,0.111,61.2
409,367,0.1173,60.8
410,391,0.1229,60.4
411,357,0.1149,60.3
412,398,0.1247,60.2
413,366,0.1225,59.9
414,377,0.12,60.3
415,350,0.1064,61.2
416,388,0.1161,61.6
417,397,0.1177,61.3
418,395,0.1153,62.2
419,433,0.1401,60
420,425,0.128,60
421,431,0.1348,60.1
422,404,0.121,60.5
423,444,0.1357,60.6
424,461,0.1354,60.3
425,370,0.1182,60.6
426,387,0.1191,60.6
427,364,0.1123,61.5
428,417,0.129,61
429,407,0.1275,61
430,408,0.1143,62.3
431,429,0.1214,62.4
432,398,0.1201,62.2
433,386,0.1193,61.8
434,400,0.1261,60.6
435,395,0.1211,60.9
436,413,0.1185,61.1
437,361,0.1073,61.3
438,410,0.1182,61.2
439,390,0.1114,62.1
440,391,0.1173,61.9
441,427,0.1278,61.7
442,424,0.125,61.2
443,434,0.127,61.5
444,335,0.1084,61
445,388,0.1147,61.7
446,349,0.1013,61.5
447,379,0.109,62.3
448,397,0.1172,62.1
449,398,0.1215,61.6
450,405,0.1193,61.7
451,421,0.1231,61.4
452,393,0.1188,62
453,398,0.1162,62.6
454,389,0.1162,62.1
455,417,0.1267,61.6
456,429,0.1235,61.5
457,445,0.1282,61.8
458,385,0.1177,61.5
459,419,0.1201,61.5
460,402,0.1249,60.9
461,384,0.1182,60.2
462,431,0.1231,61.9
463,388,0.1138,61.5
464,334,0.1067,62.4
465,413,0.123,61.7
466,434,0.1274,60.5
467,399,0.1227,60.8
468,390,0.1127,61.9
469,365,0.1119,61.8
470,402,0.1215,61.1
471,411,0.1144,62.3
472,419,0.1178,63.2
473,421,0.1171,63.3
474,406,0.1109,64.1
475,415,0.1117,64.1
476,406,0.1106,64.4
477,385,0.1113,63.8
478,388,0.1131,62.9
479,406,0.1137,63.1
480,395,0.1092,63.9
481,391,0.1096,63.8
482,384,0.11,63.6
483,365,0.112,62.6
484,392,0.1036,64.3
485,420,0.1193,63.7
486,386,0.1036,64.4
487,423,0.1204,63.7
488,431,0.1225,63.7
489,394,0.1139,63.5
490,403,0.1189,62.8
491,379,0.1107,62.6
492,390,0.1087,63.5
493,369,0.1063,63.4
494,392,0.1167,63.1
495,393,0.1094,63.4
496,389,0.1131,63.4
497,451,0.1239,63.8
498,429,0.1252,62.7
499,371,0.1141,62.6
500,445,0.1262,62.8
501,432,0.1303,62
502,446,0.1299,61.9
503,358,0.107,62.6
504,388,0.1067,62.9
505,348,0.1022,63
506,364,0.1065,63.4
507,322,0.0995,62.9
508,395,0.1077,63.5
509,395,0.1082,64.5
510,347,0.1021,63.9
511,409,0.1194,62.7
512,340,0.0974,63.9
513,360,0.1064,62.6
514,413,0.1199,62.2
515,361,0.1026,63.4
516,364,0.1046,63.7
517,312,0.0943,62.7
518,320,0.0939,63
519,325,0.0988,63
520,306,0.0881,63
521,344,0.1007,63.3
522,371,0.1057,63.5
523,362,0.1065,63.4
524,311,0.0949,63
525,350,0.1019,61.9
526,319,0.0944,63.4
527,324,0.0964,62.5
528,318,0.0904,64
529,305,0.0882,64.3
530,309,0.0935,63.7
531,306,0.0875,63.5
532,312,0.091,63.5
533,317,0.0951,62.7
534,360,0.1018,63.4
535,292,0.0884,62.8
536,323,0.094,62.9
537,290,0.0805,64
538,307,0.0864,65
539,289,0.0868,64.5
540,310,0.0919,63.9
541,333,0.0975,64.2
542,285,0.0856,65.5
543,344,0.0999,65.9
544,329,0.0962,66.3
545,326,0.0954,66.1
546,331,0.0938,66.4
547,355,0.1005,66.5
548,278,0.0843,66.1
549,164,0.0527,67.6
550,335,0.0886,68.6
551,295,0.0789,69.4
552,305,0.0874,68.8
553,246,0.0781,66.6
554,328,0.0957,66.6
555,298,0.0891,65.6
556,293,0.092,64.3
557,303,0.0953,63.4
558,316,0.0939,64.7
559,318,0.0926,64.9
560,265,0.0753,66.9
561,282,0.0848,67.1
562,260,0.0758,66.5
563,307,0.0857,67.4
564,270,0.0816,66.3
565,253,0.0736,67.7
566,262,0.0804,66.7
567,269,0.086,65.6
568,264,0.0809,65.7
569,219,0.0694,65.4
570,235,0.0721,66.3
571,249,0.0792,64.8
572,201,0.0652,65.8
573,227,0.0694,65.5
574,231,0.068,66.3
575,233,0.0728,65.8
576,173,0.059,64.9
577,163,0.055,68.5
578,217,0.0779,65.1
579,166,0.0567,65.6
580,177,0.0579,66.1
581,170,0.0534,67.7
582,172,0.0567,67.6
583,164,0.0553,67.8
584,162,0.0514,68.3
585,124,0.0455,66.5
586,134,0.0504,65
587,122,0.0433,66.7
588,107,0.0455,65.3
589,109,0.046,64.8
590,122,0.0465,64.9
591,112,0.0435,66.3
592,111,0.0454,64.8
593,116,0.0495,64.1
594,94,0.0368,67.3
595,88,0.0367,66.5
596,111,0.0411,67.7
597,103,0.0432,66.4
598,98,0.0421,66.7
599,93,0.0421,65.2
600,76,0.0338,65.6
601,89,0.0381,66.5
602,107,0.0432,67.2
603,94,0.0403,65.3
604,101,0.0406,67.1
605,69,0.0373,65.9
606,93,0.0412,65.8
607,84,0.0401,64.2
608,61,0.0327,65
609,62,0.0321,67.2
610,51,0.0312,63.9
611,79,0.0337,65.9
612,73,0.0393,64.1
613,69,0.0327,66
614,72,0.0348,67.4
